date,adjusted_abs,adj_direction,cleaned,headline_word,dict_score,target_var
2012-07-19,0.2660286815646673,positive,court upholds lyrica patent protection court upholds lyrica patent protection,10,0,0
2012-07-20,0.5155898305899465,positive,win eu backing lung cancer,5,1,0
2012-07-23,0.5892703266100807,positive,jj alzheimer fails big trial jj alzheimer fails big trial lyrica doe not hurt sperm study,16,-1,0
2012-07-24,0.0947030292911432,negative,hope dim alzheimer trial failure pulse apple western union pulse apple western union devry ryder system,16,0,0
2012-07-27,0.3955515345984484,negative,return right acura product,4,0,0
2012-07-31,2.091269774415294,positive,beat forecast helped cost cut name bank animal ipo beat street look past animal ipo beat street flirt high,19,2,1
2012-08-06,0.2761290505214897,negative,jj scrap alzheimer study fails jj scrap alzheimer study fails alzheimer fails key study,14,-1,0
2012-08-07,2.6448068383572387,negative,settle foreign bribery case settle foreign bribery case,8,0,1
2012-08-08,0.2579553385306132,positive,former ceo kindler join lux capital,6,0,0
2012-08-10,0.1296821282982474,positive,torisel fails combination study,4,-1,0
2012-08-13,0.8692622871683597,negative,animal unit zoetis file ipo animal unit file go public pay million astrazeneca otc nexium marketing right,17,-1,0
2012-08-21,0.617704840490918,negative,fda extends review arthritis month,5,0,0
2012-08-23,0.9867146024847062,positive,settle impax patent suit over generic detrol la,8,0,0
2012-08-30,0.2199623916239068,positive,fda warns use revatio child,5,0,0
2012-09-04,0.2641506826750017,negative,fda approves leukemia fda approves leukemia,6,2,0
2012-09-07,0.8003573680631315,negative,mylan settle patent suit generic detrol la,7,0,0
2012-09-26,0.5218519974432345,positive,fda decide pfizerbristol blood thinner fda decide pfizerbristol blood thinner,10,0,0
2012-10-04,0.598313058564437,negative,prevenar vaccine meet trial goal,5,0,0
2012-10-05,0.6637682182053073,positive,appeal india decision revoke cancer patent,6,0,0
2012-10-09,0.6344086486747003,positive,pay million lawsuit over celebrex agrees mln settlement celebrex security class action suit pay mln lawsuit over celebrex,18,-1,0
2012-10-11,0.2148172415952332,negative,pain safe rival pill trial,5,1,0
2012-10-17,0.2984448191767574,negative,kidney cancer fails initial treatment,5,-1,0
2012-10-22,0.6350659867331521,negative,buy maker attention deficit million buy maker attention deficit mln,10,1,0
2012-10-24,0.7592249411367935,positive,lung cancer get conditional eu approval,6,1,0
2012-11-01,2.3337371305146903,negative,sale weak vaccine emerging slump make go no go decision remoxy see emerging sale rising high single digit percentage range down pct premarket result quarterly revenue fall far short forecast,30,-2,1
2012-11-02,0.8891689419184057,positive,nestle baby food deal cleared chinese authority nestle baby food deal cleared chinese authority,14,0,0
2012-11-05,0.0826605371005984,negative,experimental cholesterol promising study,4,1,0
2012-11-06,0.2536314708983411,negative,fda approves treat rheumatoid arthritis arthritis win approval ready challenge humira arthritis win approval challenge humira,16,3,0
2012-11-07,0.9713459567809112,positive,return eu selling right auxilium hand disorder,7,0,0
2012-11-08,1.1610312057416472,positive,expects generic competition canada viagra ruling canada supreme court strip viagra patent canada top court rule viagra patent case,19,0,0
2012-11-12,0.3278594569515403,negative,pay million lawsuit over pristiq,5,-1,0
2012-11-16,0.350719907287611,positive,daily lyrica trial fails meet goal calpers others sue opt class action calpers others sue opt class action,18,0,0
2012-11-19,0.8503933963478039,negative,daily lyrica met goal trial fibromyalgia,6,0,0
2012-11-20,0.5368251550261549,positive,get eu nod blood clot preventer,6,1,0
2012-12-05,1.7105510706220572,positive,breast cancer delay progression month,5,-1,1
2012-12-07,0.4980957932867569,negative,billion revolving credit back spinoff rlpc 1b rc back spinoff gold dust vanishes missouri,14,0,0
2012-12-12,0.5558211735345653,negative,pay million settle protonix case,5,-1,0
2012-12-13,0.0924079580462589,negative,launch animal unit ipo early raise bln wsj launch animal unit ipo early raise billion wsj,16,2,0
2012-12-18,0.0111500091425575,positive,cut job lipitor sale decline report cut job lipitor sale decline report,12,-2,0
2012-12-28,0.0863826034270931,positive,fda approves anti clotting eliquis,5,2,0
2013-01-03,0.0056362748600879,negative,italy philogen sign licence deal,5,1,0
2013-01-08,0.4416949443192042,positive,win eu approval expand use prevenar child,7,3,0
2013-01-14,0.8975574259457941,positive,considers purchase india agila specialty report,6,0,0
2013-01-16,0.0239667744808103,negative,zoetis win strong response 65bn debut bond sale,8,1,0
2013-01-17,0.1807180965990307,positive,ipo could value zoetis up billion ipo could value zoetis up bln unit zoetis expects raise up bln ipo,19,1,0
2013-01-18,1.3038525852458571,negative,eu agency back leukaemia,4,0,0
2013-01-22,0.011832311126847,negative,uk nice back wider use bm anti clot,8,0,0
2013-01-25,0.0035521463321863,negative,prevnar vaccine win expanded approval age prevnar vaccine win approval age,11,2,0
2013-01-29,2.811023012320324,positive,wrapup profit beat street generic take toll stock future tick lower ford rise early wrapup beat street generic take toll q4 result top forecast give cautious view q4 result top estimate profit beat street generic take toll fourth result top forecast give cautious view,44,2,1
2013-02-14,0.130207763121648,positive,drugmakers weigh carve abbott set pace dealtalk drugmakers weigh carve abbott set pace nestle working divestments buy cfo,18,1,0
2013-03-05,0.476443306139851,positive,get celebrex patent extension sue generic,6,0,0
2013-03-25,0.3574560093871026,negative,treat tuberculosis short supply,4,0,0
2013-03-26,0.7622418526625818,positive,lung cancer pill rejected uk cost agency,7,0,0
2013-03-27,0.1398601399634325,positive,get rebuff uk cost body cancer,6,0,0
2013-03-28,0.4608384139483501,positive,fails win dismissal shareholder class action lawsuit over celebrex bextra fails end lawsuit over bextra celebrex safety,17,0,0
2013-04-02,0.8588568952651698,positive,novartis abbott weigh bid brazil ache source exclusive novartis abbott weigh bid brazil ache source,15,0,0
2013-04-03,0.3296727560335943,positive,court upholds mln verdict over neurontin court upholds million verdict over neurontin,12,0,0
2013-04-10,1.5576685692336725,positive,cancer win special status jump,5,1,1
2013-04-15,1.6000670167839235,positive,nestle make deal mexico competition body mexico nestle sell baby food,11,0,1
2013-04-25,1.5164822784939913,negative,arthritis rejected european regulator arthritis rejected european regulator,8,0,1
2013-04-29,0.460074948668665,positive,jointly develop diabetes,3,0,0
2013-04-30,4.707817371686374,negative,expects prevnar sale stengthen later result fall short trim profit forecast down pct premarket result fall short trim profit view ha understanding fda needed step remoxy pain pain therapeutic durect soar remoxy comment,33,0,1
2013-05-10,0.0941874920949548,positive,yet decide pain therapeutic painkiller,5,0,0
2013-05-20,0.8917998792169923,negative,halt study lymphoma unlikely help survival,6,0,0
2013-05-22,2.548570170474318,positive,plan unwind remaining majority stake zoetis spin off zoetis stake shareholder up premarket plan unwind remaining majority stake zoetis,19,0,1
2013-05-23,0.3591855524723963,negative,feature take shot vaccine evasive superbug rpt feature take shot vaccine evasive superbug,13,0,0
2013-06-12,0.8628995474664447,positive,teva sun pharma pay bln settle patent suit settle patent lawsuit teva sun pharma bln,15,-1,0
2013-06-24,1.3716829384921692,negative,shareholder snap up remaining zoetis,5,0,1
2013-07-01,1.4070971592184067,negative,novartis join bidding onyx source,5,0,1
2013-07-10,0.2811253079418874,positive,get eu approval wider use prevenar vaccine refile get eu approval wider use prevenar vaccine,15,1,0
2013-07-15,0.4514870827483364,negative,get fresh cancer rejection uk cost body,7,0,0
2013-07-18,1.2102646441967346,negative,not move forward takeover bid onyx source,7,0,0
2013-07-29,0.8863140921282042,positive,split generic branded unit internally split generic branded operation,9,0,0
2013-07-30,0.4400812458899228,positive,settle marketing case related rapamune earnings top estimate reiterates forecast settle marketing case dating wyeth conduct income beat estimate stand full outlook cost control help weather weak wrapup cost control help weather weak,33,1,0
2013-08-02,0.7232353480959519,positive,analysis small cap fund try boeing,6,0,0
2013-09-27,1.7219338255402006,positive,corrected fda warns tygacil raise risk death fda warns tygacil raise risk death,13,1,1
2013-09-30,0.0038754672786245,negative,bayer name brandicourt head bayer appoints brandicourt head,8,0,0
2013-10-03,0.0947938799596981,positive,fda approves menopause symptom,4,2,0
2013-10-08,0.1630770062217457,negative,reshaped plan fine tune research spending,6,0,0
2013-10-09,0.1045375082971533,positive,show mixed result psoriasis trial show mixed result psoriasis trial,10,0,0
2013-10-22,0.3419241908203974,positive,commits developing pain therapeutic painkiller continue developing pain therapeutic painkiller,10,0,0
2013-10-29,1.1256822615913764,positive,3rd qtr profit beat estimate oncology shine q3 profit beat estimate oncology shine corrected 3rd qtr profit beat estimate oncology shine third profit beat estimate oncology shine,27,1,0
2013-11-18,0.2401593071055363,negative,get fda approval additional use xeljanz rheumatoid arthritis,8,2,0
2013-11-21,0.6502166912423668,negative,gsk initiate novel combination therapy study patient melanoma,8,0,0
2013-11-22,0.031060259605331,negative,novartis chase hot breast cancer area,6,0,0
2013-11-25,0.1618185164601437,positive,india press set change india management structure line global model mint,11,0,0
2013-12-04,0.1712803125315742,positive,expand clinical access researcher patient,5,1,0
2013-12-09,0.1274048388207216,negative,high court leaf intact mln verdict justice leave intact neurontin verdict high court leaf intact million verdict,17,0,0
2013-12-16,0.6232103757273677,negative,iemens cooperate diagnostic test,4,0,0
2013-12-17,0.0455915025195152,negative,allow teva sell generic viagra,5,0,0
2013-12-31,0.6687925082016655,negative,china halt import paperwork glitch,5,0,0
2014-01-14,0.4164530622963402,positive,exclusive valeant actavis mylan eye generic unit,7,0,0
2014-01-27,0.937123784321503,negative,lung cancer fails late stage study lung cancer fails large study,11,-1,0
2014-01-28,1.9669014021872933,positive,stock wall st recovers future up turkey rate hike stock wall st rebound fed apple sink,16,1,1
2014-02-03,2.908427905716393,positive,breast cancer succeeds mid stage trial,6,0,1
2014-02-04,2.044632976177363,positive,pulse microsoft aol zynga furiex enzo biochem,7,0,1
2014-02-06,0.6988168385394955,negative,beat back generic competition lyrica,5,1,0
2014-02-13,0.231564920049454,negative,face legal action australian competition regulator,6,-1,0
2014-02-24,1.12999952970243,positive,prevnar prevents pneumonia elderly study study show prevenar prevents pneumonia people older,12,0,0
2014-03-06,1.1145241465211453,negative,recall antidepressant report wrong bottle,5,-1,0
2014-03-12,1.3838920436602289,negative,court invalidates celebrex patent reissue prevnar almost half elderly pneumonia study court invalidates celebrex patent generic loom,17,0,1
2014-03-25,0.5733791158111012,positive,lung cancer beat chemo previously untreated patient,7,1,0
2014-04-03,0.4730219139206348,positive,integragen jump pct collaboration deal apple others form go slow patent lobby group apple others form go slow patent lobby group,21,-1,0
2014-04-07,1.8799244125177528,negative,stock wall st flat momentum stock stabilize drag stock wall street fall broad weakness drag,15,-3,1
2014-04-17,0.3920508039153558,positive,teva settle patent lawsuit over blockbuster painkiller teva settle patent lawsuit over painkiller celebrex teva settle patent suit over celebrex,20,1,0
2014-04-21,1.667797770057078,positive,agrees million settlement over generic neurontin agrees mln settlement over generic neurontin astrazeneca cancer pipeline seen draw,17,0,1
2014-04-22,0.0007865486748803,negative,astrazeneca up pct higher takeover approach novartis shake up astrazeneca report lift pharma stock,14,1,0
2014-04-24,0.8818927822035638,negative,astrazeneca flag cancer advance silent bid talk,7,0,0
2014-04-29,1.3394469995466671,negative,pay cash top billion win astrazeneca ceo fly pitch astra deal uk pay cash top bln win astrazeneca rpt fitch astrazeneca combo would achieve strategic aim weak pipeline fuel hunger astrazeneca tax arbitrage hasten deal,35,1,1
2014-04-30,1.8096039867375069,negative,gsk staying sideline astra fight uk lawmaker plan probe pursuit astrazeneca,11,-1,1
2014-05-05,2.7605339590549227,negative,sale way off mark pursues astrazeneca day researcher would massive presence astra merger signal open hostile option astrazeneca 1st sale disappoint generic drag result rpt expected patient face astrazeneca rejection,30,-2,1
2014-05-07,1.0986121467215335,negative,british pm tell want commitment astrazeneca deal astrazeneca takeover would benefit science british pm want assessment takeover bid astrazeneca uk consider takeover test astrazeneca cameron spokesman astrazeneca takeover would benefit science british pm want commitment potential astrazeneca takeover,38,1,0
2014-05-09,0.6291352595329758,negative,sign rare disease deal uk university britain want binding pledge astrazeneca bid under fire europe weighs next astra move,19,1,0
2014-05-12,0.6291401703229393,negative,commitment uk legally binding rd head press case astrazeneca deal considers raising bid astrazeneca bloomberg defends powerhouse astra deal ceo brace grilling rpt commitment uk legally binding defends powerhouse astra deal ceo brace grilling,34,0,0
2014-05-15,0.7405710948003241,positive,eu almunia ha not discussed astrazeneca bid regulator promising cancer help astrazeneca fight sweden finance minister ready hear astra bid,20,1,0
2014-05-16,0.1403822806501864,negative,wedish minister urge astra owner consider rebuff weden fight back move astra threatens job apply early approval breast cancer,19,0,0
2014-05-21,0.2515750785545334,positive,ee later slim deal hope prop up astrazeneca astra need fresh start later,13,1,0
2014-05-22,0.0611435794065196,positive,blackrock want astra talk later date source blackrock want astra talk later date source,14,0,0
2014-05-23,0.9740275327528748,negative,psoriasis succeeds late stage trial,5,0,0
2014-05-27,0.2077396112274421,negative,astrazeneca fall walk away,4,-1,0
2014-05-28,0.0730994154481301,positive,italy seek anti trust compensation roche novartis,7,0,0
2014-05-29,0.5510678079259423,negative,hisun pharma unit jv luxembourg ha started production cancer meeting showcase astrazeneca prized,13,0,0
2014-06-02,0.1558176751443207,positive,pay million neurontin settlement pay mln neurontin settlement,8,-1,0
2014-06-11,0.1103601261500886,positive,astra quest failed due,4,0,0
2014-06-12,0.7759406279352454,positive,hsbc could big winner shareholder case,6,0,0
2014-06-13,0.0331996842733106,negative,linked payouts complex fix next astra bid dealtalk linked payouts complex fix next astra bid,15,0,0
2014-06-18,0.0462167518632261,positive,french cellectis surge sign cancer deal cellectis rise pct deal sign cancer immunotherapy deal france cellectis,16,3,0
2014-06-27,0.0759285351755068,positive,clot win eu green light wider use,7,1,0
2014-07-08,0.4721142938687195,negative,win dismissal class action ahead trial,6,1,0
2014-07-16,1.438489337944393,positive,clotting dose reduces bleeding rate,5,0,1
2014-07-25,0.0262367553978348,negative,astrazeneca result get lift bid foe,6,1,0
2014-07-28,0.3385732158445842,negative,need deal loom larger earnings report,6,0,0
2014-07-29,0.79950888349547,negative,beat forecast oncology grow leaf guessing intention astra looking deal decline comment interest astrazeneca,14,1,0
2014-07-30,0.7215895072948508,negative,buy baxter vaccine unit mln buy baxter vaccine unit million corrected buy baxter vaccine mln,15,1,0
2014-07-31,0.0609441802946086,positive,astrazeneca raise forecast seeing off astra ceo nov day focus progress no comment astrazeneca smash forecast q2 seeing off,19,1,0
2014-08-01,0.8630482839275588,positive,bid gsk ha merit corrected threat manager force staff lockout mumbai factory threat manager force staff lockout mumbai factory,19,0,0
2014-08-06,0.4888337299746137,negative,reach mln settlement over marketing rapamune pay mln state settle rapamune claim pay million state settle rapamune claim,18,-1,0
2014-08-08,0.0869862108433983,negative,insight confronts surge lawsuit over lipitor confronts surge lawsuit over lipitor,11,1,0
2014-08-12,0.4624510264366166,negative,help 23andme unravel genetic tie bowel disease,7,0,0
2014-08-21,0.5338728756203115,negative,back astrazeneca end move seen likely,6,0,0
2014-08-26,1.6299801889020804,positive,test xalkori lung cancer immunotherapy rpt test xalkori lung cancer immunotherapy,11,0,1
2014-09-02,0.3925041943012686,negative,exclusive back normal astrazeneca ceo despite rumor,7,0,0
2014-09-04,0.0425975877013096,positive,vectura partner novartis sign marketing deal uk,7,1,0
2014-09-12,0.0908677484021014,negative,ranbaxy win dismissal lawsuit over generic lipitor ranbaxy win dismissal lawsuit direct purchaser plaintiff over generic lipitor,17,1,0
2014-09-23,0.1416839991804419,positive,approach actavis gauge interest deal bloomberg approach actavis gauge interest deal bloomberg,12,0,0
2014-10-14,0.1898656343372495,negative,fda staff recommend keep black box warning anti smoking,9,0,0
2014-10-16,1.6523819401157658,negative,fda vote keep black box warning anti smoking fda panel vote keep severe warning anti smoking,16,0,1
2014-10-23,0.1024183009363799,negative,court upholds patent cancer board authorizes billion repurchase,8,1,0
2014-10-24,1.0137097811989015,positive,billion buyback plan deflates astrazeneca bid hope,7,0,0
2014-10-27,0.1373661039375528,negative,end deal pain therapeutic develop durect pain,7,0,0
2014-10-28,0.9403400969079768,negative,beat q3 forecast mum likely future deal executive treasury rule hamstring inversion deal beat sale profit forecast mum future deal ceo inversion deal still potential option,26,1,0
2014-10-29,1.5262450264342475,positive,meningitis vaccine win approval fda meningitis vaccine win approval,9,2,1
2014-11-06,0.400316299782788,negative,india unit report q2 loss plant lockout cost tax change weaken case bid astrazeneca ceo,15,-1,0
2014-11-13,0.1127672090482034,negative,gate foundation expand contraceptive access poor nation,7,0,0
2014-11-14,0.2874718758536398,negative,astrazeneca not game town deal hungry dealtalk astrazeneca not game town deal hungry,13,0,0
2014-11-17,0.1295701850385633,negative,deal make competitive immuno oncology dampens astra bid hope german cancer deal kgaa deal exclusive german cancer immunotherapy deal,19,0,0
2014-11-18,0.3131171630233798,positive,astrazeneca ceo hard comment whether return astrazeneca trumpet solo strength cancer snubbing,12,0,0
2014-12-03,0.1838560751378004,positive,wada sign deal ped information,5,1,0
2014-12-08,0.605749693399027,positive,bet gene therapy technology come age,6,0,0
2014-12-11,1.16612327477138,negative,fda warns antipsychotic could cause fatal skin reaction,8,0,0
2014-12-22,0.0096266833306435,positive,thailand press expects pharma recovery bangkok post,7,0,0
2015-01-08,0.2663118535170428,positive,fda talk prescription detail key breast cancer,7,0,0
2015-01-12,1.150888189513799,positive,partner dna research firm study lupus disease,7,0,0
2015-01-13,0.7257454835169597,negative,developing pcsk9 pill vaccine lower cholesterol,6,0,0
2015-01-20,0.7013722309719972,positive,msf slam expensive vaccine urge gsk cut,7,0,0
2015-01-26,0.8444018227109495,positive,cut vaccine poor gavi group seek billion cut vaccine poor gavi group seek bln,14,-1,0
2015-01-27,0.7092996336039437,positive,forecast disappoints crimped generic dollar pay million avert class action trial ceo doesnt need big deal,16,-1,0
2015-02-03,0.2770809393165985,negative,fda approves high profile breast cancer fda approves ibrance breast cancer,11,2,0
2015-02-06,0.8221578236102589,positive,rpt hospira deal bet spike specialty generic,7,0,0
2015-02-09,0.1461024257725984,positive,billion accelerated buyback deal goldman sachs bln accelerated buyback deal goldman sachs,12,0,0
2015-02-20,0.1641373573671556,negative,sanofi bos could earn total le,6,0,0
2015-02-26,0.0838312156641318,negative,lament narrow recommendation meningitis vaccine novartis meningitis vaccine scope narrow,10,0,0
2015-03-09,0.2378313963284695,negative,fda warns seizure alcohol risk chantix fda warns seizure alcohol risk chantix fda decline remove serious warning chantix fda decline remove serious warning chantix,24,-1,0
2015-03-12,0.1711854953417413,negative,pain lyrica fails study adolescent fibromyalgia hunt vaccine protect young old,11,-1,0
2015-03-23,2.53062408193675,positive,resume late stage study testing pain resume study testing pain,10,0,1
2015-04-02,0.2141019963971979,negative,shutter vaccine sale china,4,0,0
2015-04-13,0.5352898493201419,negative,mylan settle viagra patent litigation,5,0,0
2015-04-14,0.3622940651902717,negative,spar zoloft plaintiff over deadline expert,6,0,0
2015-04-15,0.0651365065537312,positive,astrazeneca science move bid approved breast cancer impress latest study,10,0,0
2015-04-17,0.7240966786462577,positive,win first trial over zoloft birth defect risk,8,1,0
2015-04-28,0.6358930374389948,negative,quarterly revenue fall stronger dollar cut full forecast stronger dollar,10,-1,0
2015-04-30,0.0478266905494795,negative,exclusive mystery bidder rare disease drugmaker sobi source,8,0,0
2015-05-11,0.3009037360299671,positive,dksh support expansion lao,4,0,0
2015-05-13,0.7591323227282509,negative,group ada doesnt entitle blind worker driver show early promise xalkori resistant lung cancer study,15,1,0
2015-05-18,0.3400963728522499,negative,geratherm medical apoplex medical technology cooperate field stroke,8,0,0
2015-05-28,0.5209982440284477,positive,fda app prof treat rare lung disease fda approves treat rare lung disease,13,2,0
2015-06-11,0.110114100755343,positive,jury clear second trial alleging zoloft birth defect jury clear second trial over zoloft,14,1,0
2015-07-07,0.7952323837365327,positive,zoloft plaintiff set spar second hearing expert witness,8,0,0
2015-07-14,0.2890313961986468,positive,offer concession bid win eu okay hospira deal,8,2,0
2015-07-15,0.2423520076395124,negative,refile indian unit intends close navi mumbai plant,8,0,0
2015-07-28,1.698069186220308,positive,revenue profit beat vaccine sale rise revenue fall,8,2,1
2015-08-04,0.0848393694583338,positive,win eu approval billion hospira buy corrected win eu approval bln hospira buy,13,3,0
2015-08-06,0.9816920021433416,negative,britain rap over huge jump epilepsy britain rap over inflated epilepsy cma issue statement objection flynn pharma anti epilepsy probe,20,-1,0
2015-08-07,0.2632501374439377,positive,revive cancer rev up immune system insight revive cancer rev up immune system rpt insight revive cancer rev up immune system,21,0,0
2015-09-09,0.3848631696744209,negative,evotec enters licence collaboration agreement,5,0,0
2015-09-10,1.5054181766689825,positive,loses uk patent case over use lyrica pain,8,0,1
2015-09-18,0.2259517768880115,negative,judge trim poultry vaccine suit zoetis,6,0,0
2015-09-30,0.6089737526458361,negative,lift fy adjusted profit forecast hospira buy,7,2,0
2015-10-01,1.0871388959021289,positive,kgaa avelumab alliance track corrected kgaa avelumab alliance track,9,0,0
2015-10-14,0.6613291908148411,positive,fda decline expand approval arthritis,5,1,0
2015-10-27,2.632650741818787,positive,profit beat vaccine sale rise begin human trial oral form pcsk9 inhibitor treat cholesterol revenue fall pct strong dollar,19,2,1
2015-10-28,0.1673504934580183,positive,allergan considering combination cnbc citing,5,0,0
2015-10-30,2.272668413370904,negative,rpt allergan spark fresh tax inversion angst capitol hill,9,0,1
2015-11-02,2.4833790812913925,positive,factbox allergan put focus tax inversion rule,7,0,1
2015-11-03,0.5466405297479993,negative,partner south africa produce pneumococcal vaccine gsk bos silent report drugmaker rebuffed,12,0,0
2015-11-04,1.278937803562319,negative,kgaa widen development cancer immunology,5,0,0
2015-11-06,0.5918731269812016,negative,big spending hard lobbying eye tax home rpt big spending hard lobbying eye tax home allergan deal would set up split rpt allergan deal would set up split,28,0,0
2015-11-13,0.7634385339640781,positive,allergan deal refocuses tax inversion rule allergan deal refocuses tax inversion rule,12,0,0
2015-11-16,1.8513154656321529,negative,insight ha shifted profit overseas exclusive moelis clinch advisory role help eric cantor source ha shifted profit overseas,18,0,1
2015-11-17,0.8015975455720858,negative,rpt insight ha shifted profit overseas,6,0,0
2015-11-18,0.2479996851078247,negative,discussing allergan offer source discussing allergan offer source kgaa receive fda breakthrough status avelumab allergan talk accelerate amid inversion clamp down,21,1,0
2015-11-19,2.975907693294888,negative,unveils inversion rule unlikely thwart ervier get right cellectis cancer cell therapy bln plan high risk low benefit allergan final stage merger talk cnbc exclusive negotiating allergan break up fee source fund optimistic allergan piled bid allergan final stage merger talk cnbc,42,1,1
2015-11-20,0.7050837461269777,negative,exclusive allergan ceo agree combined role source,7,0,0
2015-11-24,1.9088440711617196,positive,aunders get key job allergan combine delay split material adverse event allergan get no support scaredy arb politician slam tax avoiding allergan deal,23,-1,1
2015-11-25,2.829469262250228,positive,war chest stealthily rebuilt allergan lyrica show no relief post traumatic nerve pain,13,0,1
2015-11-27,0.3580400085943402,negative,rpt decade mission pay off guggenheim deal king,8,-1,0
2015-12-03,0.1498738386308096,negative,block key plaintiff expert zoloft mdl,6,0,0
2015-12-14,0.1309524534828465,negative,suit over advil marketing get green light,7,0,0
2015-12-22,0.7225801339698856,negative,defeat nyu claim cancer royalty,5,0,0
2016-01-08,0.1762275470110097,negative,hike over,2,0,0
2016-01-12,1.0321286929692142,negative,allergan combined pipeline underappreciated allergan research chief immuno oncology pipeline underappreciated,11,0,0
2016-01-13,0.4618046738807613,positive,car cancer therapy could outshine rival weighing sale hospira pump bloomberg weighing sale hospira pump bloomberg court upholds patent cancer sutent,21,1,0
